Date,Time,Temp Out,Out Hum,Dew Pt.,Wind Speed
2022-07-05,00:00,25.4,93.0,24.2,5.1
2022-07-06,14:00,30.6,72.0,25.0,3.8
2022-07-06,23:00,25.6,94.0,24.6,2.1
2022-07-06,15:00,29.6,78.0,25.3,4.2
2022-07-06,16:00,27.6,85.0,24.8,4.2
2022-07-06,17:00,27.2,88.0,25.1,4.0
2022-07-06,22:00,25.6,94.0,24.6,1.8
2022-07-06,19:00,26.0,91.0,24.3,2.8
2022-07-06,20:00,25.9,92.0,24.6,3.3
2022-07-06,21:00,26.1,91.0,24.6,2.2
2022-07-06,13:00,31.2,69.0,24.8,2.8
2022-07-06,18:00,26.3,90.0,24.6,1.1
2022-07-06,12:00,30.7,70.0,24.6,3.6
2022-07-06,07:00,26.7,87.0,24.3,1.3
2022-07-06,10:00,30.2,71.0,24.4,1.8
2022-07-06,09:00,27.5,84.0,24.5,1.8
2022-07-06,08:00,27.2,84.0,24.3,1.6
2022-07-06,06:00,26.3,88.0,24.1,3.1
2022-07-06,05:00,25.1,91.0,23.6,4.0
2022-07-06,04:00,24.8,94.0,23.8,3.7
2022-07-06,03:00,24.6,95.0,23.8,3.4
2022-07-06,02:00,24.5,95.0,23.6,2.6
2022-07-06,01:00,24.7,95.0,23.8,2.5
2022-07-06,00:00,25.0,94.0,23.9,2.1
2022-07-06,11:00,30.2,72.0,24.6,3.1
2022-07-07,14:00,28.2,81.0,24.6,0.8
2022-07-07,15:00,28.5,80.0,24.7,1.1
2022-07-07,16:00,28.6,79.0,24.7,0.5
2022-07-07,17:00,27.2,83.0,24.1,5.4
2022-07-07,22:00,25.3,97.0,24.8,3.1
2022-07-07,19:00,25.9,92.0,24.5,2.6
2022-07-07,20:00,25.5,95.0,24.7,3.3
2022-07-07,21:00,25.7,96.0,25.0,3.6
2022-07-07,13:00,27.7,84.0,24.7,1.8
2022-07-07,23:00,25.5,96.0,24.9,3.1
2022-07-07,18:00,26.4,87.0,24.1,1.3
2022-07-07,12:00,28.6,78.0,24.4,2.3
2022-07-07,07:00,26.7,85.0,24.1,3.5
2022-07-07,10:00,29.4,75.0,24.5,1.5
2022-07-07,09:00,27.4,84.0,24.4,2.5
2022-07-07,08:00,26.9,84.0,24.0,2.6
2022-07-07,06:00,26.1,92.0,24.7,2.3
2022-07-07,05:00,24.9,97.0,24.4,2.5
2022-07-07,04:00,24.9,97.0,24.4,2.2
2022-07-07,03:00,25.3,97.0,24.7,1.8
2022-07-07,02:00,25.2,96.0,24.6,2.3
2022-07-07,01:00,25.2,96.0,24.6,2.3
2022-07-07,00:00,25.6,94.0,24.6,2.2
2022-07-07,11:00,29.3,76.0,24.6,1.6
2022-07-08,17:00,28.2,80.0,24.5,7.7
2022-07-08,14:00,31.3,69.0,24.8,13.4
2022-07-08,15:00,31.0,69.0,24.8,12.0
2022-07-08,16:00,30.7,72.0,25.1,11.4
2022-07-08,18:00,27.3,86.0,24.7,5.6
2022-07-08,04:00,25.1,96.0,24.5,3.8
2022-07-08,20:00,26.7,89.0,24.6,3.7
2022-07-08,21:00,26.8,89.0,24.7,5.8
2022-07-08,22:00,26.2,92.0,24.7,6.6
2022-07-08,23:00,26.0,92.0,24.6,6.2
2022-07-08,13:00,31.0,69.0,24.7,14.1
2022-07-08,19:00,26.7,90.0,24.9,4.7
2022-07-08,12:00,30.0,73.0,24.7,12.0
2022-07-08,01:00,25.3,95.0,24.5,2.5
2022-07-08,10:00,29.4,77.0,24.8,10.0
2022-07-08,02:00,25.2,96.0,24.5,3.0
2022-07-08,03:00,25.1,96.0,24.5,3.6
2022-07-08,11:00,29.8,75.0,24.9,11.3
2022-07-08,05:00,25.2,96.0,24.4,3.0
2022-07-08,00:00,25.4,97.0,24.8,2.8
2022-07-08,07:00,26.6,89.0,24.5,1.8
2022-07-08,08:00,26.9,86.0,24.3,4.2
2022-07-08,09:00,27.1,84.0,24.3,7.4
2022-07-08,06:00,26.2,93.0,24.9,1.5
2022-07-09,22:00,26.7,90.0,24.9,7.2
2022-07-09,12:00,30.5,77.0,26.0,12.0
2022-07-09,21:00,27.4,88.0,25.1,7.8
2022-07-09,20:00,27.2,86.0,24.6,9.5
2022-07-09,19:00,27.9,82.0,24.6,8.0
2022-07-09,18:00,28.4,81.0,24.9,8.0
2022-07-09,17:00,29.0,79.0,25.0,9.5
2022-07-09,16:00,30.8,76.0,26.1,10.7
2022-07-09,15:00,31.4,76.0,26.7,11.2
2022-07-09,14:00,31.3,75.0,26.4,11.4
2022-07-09,13:00,31.5,74.0,26.4,11.6
2022-07-09,11:00,30.2,77.0,25.8,13.1
2022-07-09,23:00,26.6,91.0,25.1,6.2
2022-07-09,09:00,27.1,86.0,24.5,9.6
2022-07-09,00:00,26.2,91.0,24.6,4.7
2022-07-09,01:00,25.7,93.0,24.4,6.0
2022-07-09,02:00,25.5,94.0,24.5,5.6
2022-07-09,03:00,25.7,93.0,24.5,6.3
2022-07-09,10:00,29.9,76.0,25.2,12.3
2022-07-09,05:00,25.5,94.0,24.5,6.2
2022-07-09,06:00,26.6,89.0,24.6,4.4
2022-07-09,07:00,26.5,89.0,24.5,6.3
2022-07-09,08:00,26.4,90.0,24.6,7.7
2022-07-09,04:00,25.4,94.0,24.5,6.8
2022-07-10,13:00,31.4,71.0,25.5,9.4
2022-07-10,14:00,30.9,73.0,25.6,9.5
2022-07-10,15:00,31.2,74.0,25.9,7.1
2022-07-10,16:00,31.1,73.0,25.8,6.7
2022-07-10,17:00,27.8,84.0,24.7,7.4
2022-07-10,19:00,26.5,92.0,25.1,3.6
2022-07-10,20:00,26.7,92.0,25.2,2.4
2022-07-10,21:00,26.9,90.0,25.1,5.5
2022-07-10,12:00,31.3,69.0,24.8,9.2
2022-07-10,23:00,26.4,90.0,24.6,8.3
2022-07-10,18:00,26.7,91.0,25.1,4.0
2022-07-10,22:00,26.4,91.0,24.8,6.1
2022-07-10,11:00,31.1,69.0,24.9,8.4
2022-07-10,09:00,28.4,82.0,25.1,5.4
2022-07-10,08:00,28.0,85.0,25.2,4.7
2022-07-10,07:00,27.5,89.0,25.5,3.9
2022-07-10,06:00,27.2,90.0,25.4,3.0
2022-07-10,05:00,25.0,96.0,24.4,5.6
2022-07-10,04:00,25.8,93.0,24.6,4.9
2022-07-10,03:00,25.9,92.0,24.6,7.2
2022-07-10,02:00,25.9,95.0,25.0,8.6
2022-07-10,01:00,26.0,94.0,24.9,8.3
2022-07-10,00:00,26.6,92.0,25.1,6.7
2022-07-10,10:00,30.7,71.0,24.9,7.0
2022-07-11,13:00,32.2,72.0,26.5,7.8
2022-07-11,14:00,32.6,68.0,25.9,6.6
2022-07-11,15:00,32.4,69.0,25.9,6.5
2022-07-11,16:00,32.0,70.0,25.8,1.6
2022-07-11,17:00,28.1,81.0,24.5,2.5
2022-07-11,22:00,26.5,91.0,24.9,2.1
2022-07-11,19:00,27.0,89.0,25.0,3.6
2022-07-11,23:00,26.0,95.0,25.1,3.0
2022-07-11,21:00,26.5,94.0,25.5,1.8
2022-07-11,12:00,31.3,73.0,25.8,8.1
2022-07-11,18:00,27.5,87.0,25.1,3.9
2022-07-11,11:00,31.0,74.0,25.9,7.4
2022-07-11,20:00,27.1,93.0,25.8,3.0
2022-07-11,09:00,28.1,82.0,24.7,4.5
2022-07-11,08:00,27.0,88.0,24.9,1.5
2022-07-11,07:00,26.5,89.0,24.5,2.8
2022-07-11,06:00,26.0,92.0,24.6,2.9
2022-07-11,05:00,25.1,95.0,24.2,2.4
2022-07-11,04:00,25.0,96.0,24.2,5.4
2022-07-11,03:00,26.1,92.0,24.7,4.9
2022-07-11,02:00,26.1,91.0,24.6,4.9
2022-07-11,01:00,25.8,91.0,24.3,6.1
2022-07-11,00:00,25.8,92.0,24.5,8.3
2022-07-11,10:00,30.2,76.0,25.4,6.3
2022-07-12,14:00,29.4,75.0,24.4,1.5
2022-07-12,15:00,29.3,77.0,24.8,1.4
2022-07-12,16:00,29.3,79.0,25.2,1.4
2022-07-12,17:00,28.5,81.0,25.0,1.8
2022-07-12,18:00,27.1,89.0,25.1,1.5
2022-07-12,23:00,25.9,97.0,25.3,5.9
2022-07-12,20:00,26.4,94.0,25.4,0.4
2022-07-12,21:00,26.6,93.0,25.4,0.5
2022-07-12,22:00,26.0,96.0,25.3,2.9
2022-07-12,13:00,29.6,74.0,24.4,3.3
2022-07-12,19:00,26.8,92.0,25.4,1.8
2022-07-12,12:00,29.3,76.0,24.5,3.3
2022-07-12,11:00,29.2,77.0,24.8,2.8
2022-07-12,10:00,29.0,80.0,25.1,3.0
2022-07-12,09:00,27.0,88.0,24.8,3.0
2022-07-12,08:00,26.6,90.0,24.8,3.4
2022-07-12,07:00,26.4,92.0,25.0,3.0
2022-07-12,06:00,26.2,93.0,24.9,1.9
2022-07-12,05:00,25.3,96.0,24.7,1.8
2022-07-12,04:00,25.5,95.0,24.7,1.8
2022-07-12,03:00,25.8,95.0,24.8,4.1
2022-07-12,02:00,25.8,96.0,25.0,5.4
2022-07-12,01:00,26.0,96.0,25.3,7.0
2022-07-12,00:00,26.1,95.0,25.3,5.1
2022-07-13,14:00,30.0,75.0,25.0,6.0
2022-07-13,23:00,26.5,89.0,24.6,2.9
2022-07-13,15:00,30.4,73.0,25.1,6.2
2022-07-13,16:00,29.6,75.0,24.8,5.8
2022-07-13,17:00,28.0,81.0,24.4,4.0
2022-07-13,22:00,26.8,88.0,24.6,1.8
2022-07-13,19:00,27.6,84.0,24.6,1.0
2022-07-13,20:00,27.2,86.0,24.7,1.8
2022-07-13,21:00,27.2,87.0,24.9,2.1
2022-07-13,13:00,30.0,74.0,24.9,5.2
2022-07-13,18:00,28.1,80.0,24.3,1.1
2022-07-13,12:00,29.3,78.0,25.0,4.6
2022-07-13,07:00,26.0,92.0,24.6,3.6
2022-07-13,10:00,29.0,79.0,25.0,2.2
2022-07-13,09:00,26.8,86.0,24.4,1.0
2022-07-13,08:00,26.4,88.0,24.2,1.4
2022-07-13,06:00,25.8,94.0,24.7,2.4
2022-07-13,05:00,25.1,96.0,24.3,5.5
2022-07-13,04:00,25.1,96.0,24.4,5.1
2022-07-13,03:00,25.2,95.0,24.3,4.7
2022-07-13,02:00,25.2,95.0,24.4,1.4
2022-07-13,01:00,25.4,96.0,24.6,2.5
2022-07-13,00:00,26.1,95.0,25.2,3.5
2022-07-13,11:00,29.3,78.0,25.0,4.2
2022-07-14,14:00,32.8,70.0,26.6,3.4
2022-07-14,15:00,31.4,71.0,25.5,3.5
2022-07-14,16:00,30.7,73.0,25.3,4.8
2022-07-14,17:00,28.8,76.0,24.2,7.6
2022-07-14,22:00,26.9,87.0,24.6,4.2
2022-07-14,19:00,27.4,85.0,24.7,4.6
2022-07-14,20:00,27.1,89.0,25.1,4.8
2022-07-14,21:00,27.3,87.0,24.9,4.3
2022-07-14,13:00,32.4,69.0,25.9,2.6
2022-07-14,23:00,26.5,90.0,24.8,5.0
2022-07-14,18:00,27.2,85.0,24.6,5.9
2022-07-14,12:00,32.0,66.0,24.8,3.7
2022-07-14,07:00,28.1,84.0,25.1,1.0
2022-07-14,10:00,31.7,65.0,24.2,5.3
2022-07-14,09:00,29.1,76.0,24.4,4.2
2022-07-14,08:00,28.6,79.0,24.6,2.8
2022-07-14,06:00,27.2,88.0,25.1,2.0
2022-07-14,05:00,25.6,96.0,24.8,1.8
2022-07-14,04:00,25.7,94.0,24.6,1.9
2022-07-14,03:00,26.0,93.0,24.7,0.5
2022-07-14,02:00,25.7,93.0,24.5,1.8
2022-07-14,01:00,26.0,93.0,24.7,1.4
2022-07-14,00:00,26.3,91.0,24.8,1.8
2022-07-14,11:00,31.8,64.0,24.2,5.4
2022-07-15,17:00,31.6,68.0,24.8,4.1
2022-07-15,14:00,32.6,68.0,25.8,3.9
2022-07-15,15:00,32.5,67.0,25.6,2.7
2022-07-15,16:00,32.0,66.0,24.8,2.5
2022-07-15,18:00,29.3,77.0,24.8,5.1
2022-07-15,22:00,26.3,89.0,24.3,4.1
2022-07-15,20:00,28.5,83.0,25.4,4.4
2022-07-15,21:00,28.6,82.0,25.2,4.6
2022-07-15,23:00,26.0,90.0,24.2,3.8
2022-07-15,13:00,32.6,68.0,25.8,3.9
2022-07-15,19:00,28.7,81.0,25.0,6.0
2022-07-15,12:00,31.5,70.0,25.4,3.4
2022-07-15,04:00,26.0,91.0,24.4,0.7
2022-07-15,10:00,30.8,73.0,25.4,2.5
2022-07-15,00:00,26.4,91.0,24.9,5.0
2022-07-15,01:00,26.1,92.0,24.6,4.6
2022-07-15,02:00,25.9,93.0,24.7,4.6
2022-07-15,03:00,25.8,93.0,24.5,3.9
2022-07-15,11:00,31.2,71.0,25.3,2.6
2022-07-15,06:00,27.2,89.0,25.2,1.1
2022-07-15,07:00,28.0,85.0,25.2,0.7
2022-07-15,08:00,28.3,84.0,25.3,1.8
2022-07-15,05:00,25.5,93.0,24.3,0.7
2022-07-15,09:00,28.6,81.0,25.1,2.9
2022-07-16,14:00,31.1,76.0,26.4,5.1
2022-07-16,15:00,31.7,72.0,26.0,4.4
2022-07-16,16:00,29.4,79.0,25.4,5.0
2022-07-16,17:00,27.6,85.0,24.8,4.0
2022-07-16,18:00,26.1,91.0,24.6,5.4
2022-07-16,21:00,25.6,91.0,24.1,7.2
2022-07-16,20:00,25.6,93.0,24.3,6.6
2022-07-16,13:00,31.6,73.0,26.1,6.1
2022-07-16,22:00,25.5,92.0,24.1,4.7
2022-07-16,23:00,25.1,93.0,23.9,4.0
2022-07-16,19:00,26.0,91.0,24.4,6.8
2022-07-16,12:00,31.4,74.0,26.3,5.9
2022-07-16,10:00,30.9,76.0,26.2,5.5
2022-07-16,09:00,28.2,83.0,25.1,4.1
2022-07-16,08:00,27.7,86.0,25.0,2.8
2022-07-16,07:00,27.2,87.0,24.8,3.3
2022-07-16,06:00,26.6,90.0,24.8,2.1
2022-07-16,05:00,25.7,94.0,24.7,2.2
2022-07-16,04:00,26.0,93.0,24.7,0.8
2022-07-16,03:00,25.8,95.0,24.8,1.5
2022-07-16,02:00,25.9,93.0,24.8,2.6
2022-07-16,01:00,26.2,91.0,24.6,3.4
2022-07-16,00:00,26.1,91.0,24.5,2.5
2022-07-16,11:00,31.0,77.0,26.5,5.8
2022-07-17,18:00,25.9,91.0,24.2,6.5
2022-07-17,15:00,29.4,74.0,24.3,10.2
2022-07-17,16:00,28.9,80.0,25.2,10.0
2022-07-17,17:00,26.9,88.0,24.7,7.4
2022-07-17,19:00,25.9,90.0,24.2,7.1
2022-07-17,14:00,30.5,74.0,25.4,8.7
2022-07-17,21:00,25.4,93.0,24.1,6.9
2022-07-17,22:00,25.2,95.0,24.3,7.1
2022-07-17,23:00,25.0,96.0,24.4,7.9
2022-07-17,13:00,30.9,71.0,25.1,6.6
2022-07-17,20:00,25.4,91.0,23.8,8.0
2022-07-17,12:00,30.2,78.0,25.9,2.5
2022-07-17,02:00,25.1,93.0,23.8,4.6
2022-07-17,10:00,29.5,82.0,26.1,2.3
2022-07-17,11:00,29.8,83.0,26.5,1.1
2022-07-17,01:00,25.0,93.0,23.9,5.0
2022-07-17,03:00,24.9,94.0,23.8,5.6
2022-07-17,04:00,24.7,94.0,23.6,5.0
2022-07-17,05:00,24.4,95.0,23.6,4.0
2022-07-17,00:00,25.1,93.0,23.8,3.1
2022-07-17,07:00,26.2,90.0,24.4,0.8
2022-07-17,08:00,26.6,88.0,24.5,1.6
2022-07-17,09:00,27.0,88.0,24.8,2.3
2022-07-17,06:00,25.8,90.0,24.1,4.3
2022-07-18,12:00,29.9,77.0,25.4,7.9
2022-07-18,22:00,25.1,95.0,24.2,4.2
2022-07-18,21:00,25.4,93.0,24.2,3.1
2022-07-18,20:00,25.6,92.0,24.2,0.4
2022-07-18,19:00,25.9,91.0,24.3,1.8
2022-07-18,18:00,26.1,89.0,24.1,2.8
2022-07-18,17:00,26.2,89.0,24.2,2.9
2022-07-18,16:00,27.3,86.0,24.8,5.1
2022-07-18,15:00,29.1,81.0,25.5,6.1
2022-07-18,14:00,29.2,81.0,25.5,6.1
2022-07-18,13:00,29.7,77.0,25.3,7.4
2022-07-18,11:00,29.8,76.0,25.1,9.5
2022-07-18,23:00,25.0,94.0,24.0,3.8
2022-07-18,09:00,27.1,83.0,23.9,7.6
2022-07-18,08:00,26.4,85.0,23.7,3.6
2022-07-18,07:00,26.1,88.0,23.9,2.7
2022-07-18,06:00,25.6,91.0,24.1,1.3
2022-07-18,05:00,24.8,95.0,23.9,0.4
2022-07-18,04:00,24.8,95.0,23.9,2.3
2022-07-18,03:00,24.7,95.0,23.9,3.1
2022-07-18,02:00,24.8,95.0,23.9,2.9
2022-07-18,01:00,24.8,95.0,24.0,3.8
2022-07-18,00:00,25.0,96.0,24.4,6.4
2022-07-18,10:00,29.7,74.0,24.6,10.1
2022-07-19,14:00,31.3,69.0,25.0,16.4
2022-07-19,15:00,31.1,71.0,25.1,16.0
2022-07-19,16:00,30.3,72.0,24.8,14.3
2022-07-19,17:00,28.7,81.0,25.1,12.7
2022-07-19,18:00,28.5,79.0,24.4,8.9
2022-07-19,22:00,27.2,84.0,24.3,5.5
2022-07-19,23:00,27.0,84.0,24.1,6.3
2022-07-19,20:00,28.2,80.0,24.4,5.2
2022-07-19,21:00,28.1,81.0,24.6,5.2
2022-07-19,13:00,31.3,70.0,25.1,15.9
2022-07-19,19:00,28.3,78.0,24.2,6.1
2022-07-19,12:00,30.8,70.0,24.7,14.5
2022-07-19,02:00,24.8,96.0,24.1,1.5
2022-07-19,10:00,30.4,72.0,24.8,10.4
2022-07-19,09:00,27.7,82.0,24.3,7.9
2022-07-19,08:00,27.1,85.0,24.4,4.6
2022-07-19,07:00,26.8,88.0,24.5,3.3
2022-07-19,06:00,26.2,91.0,24.6,2.3
2022-07-19,05:00,24.9,95.0,24.0,1.3
2022-07-19,04:00,24.7,96.0,24.0,0.5
2022-07-19,03:00,25.1,95.0,24.2,1.1
2022-07-19,01:00,24.7,96.0,24.1,3.2
2022-07-19,00:00,25.0,95.0,24.2,3.2
2022-07-19,11:00,30.7,70.0,24.6,12.7
2022-07-20,13:00,30.2,81.0,26.6,15.5
2022-07-20,14:00,30.5,79.0,26.4,16.0
2022-07-20,15:00,30.5,77.0,26.1,14.8
2022-07-20,16:00,30.1,76.0,25.4,12.7
2022-07-20,17:00,29.6,77.0,25.2,10.2
2022-07-20,22:00,26.5,88.0,24.3,3.9
2022-07-20,19:00,27.2,86.0,24.6,4.5
2022-07-20,20:00,27.0,88.0,24.8,3.1
2022-07-20,21:00,26.8,88.0,24.6,3.5
2022-07-20,12:00,29.5,82.0,26.2,15.0
2022-07-20,18:00,27.6,84.0,24.6,8.0
2022-07-20,11:00,29.3,81.0,25.8,15.0
2022-07-20,23:00,26.2,88.0,24.0,5.2
2022-07-20,09:00,27.8,82.0,24.5,11.9
2022-07-20,00:00,26.8,85.0,24.1,5.0
2022-07-20,01:00,26.4,87.0,24.2,6.8
2022-07-20,02:00,26.5,87.0,24.3,6.6
2022-07-20,03:00,26.5,88.0,24.3,6.4
2022-07-20,10:00,29.5,78.0,25.3,14.5
2022-07-20,05:00,25.7,91.0,24.2,5.1
2022-07-20,06:00,27.3,85.0,24.6,5.8
2022-07-20,07:00,27.3,84.0,24.4,5.0
2022-07-20,08:00,27.3,85.0,24.5,7.2
2022-07-20,04:00,26.3,89.0,24.4,6.5
2022-07-21,13:00,28.2,83.0,25.0,10.4
2022-07-21,14:00,28.2,83.0,24.9,12.9
2022-07-21,15:00,28.1,82.0,24.8,12.8
2022-07-21,16:00,27.6,82.0,24.3,10.9
2022-07-21,17:00,27.3,83.0,24.1,10.1
2022-07-21,19:00,26.2,86.0,23.7,4.7
2022-07-21,20:00,26.1,86.0,23.6,5.1
2022-07-21,21:00,26.1,86.0,23.7,6.5
2022-07-21,12:00,27.6,85.0,24.8,7.6
2022-07-21,23:00,25.6,89.0,23.6,8.0
2022-07-21,18:00,26.4,86.0,23.9,4.3
2022-07-21,22:00,25.6,88.0,23.6,7.6
2022-07-21,11:00,27.3,83.0,24.3,7.3
2022-07-21,09:00,25.1,91.0,23.6,7.1
2022-07-21,08:00,24.9,91.0,23.4,7.1
2022-07-21,07:00,24.7,93.0,23.5,4.4
2022-07-21,06:00,24.6,95.0,23.7,0.8
2022-07-21,05:00,25.0,93.0,23.7,4.4
2022-07-21,04:00,24.8,93.0,23.5,4.7
2022-07-21,03:00,25.0,92.0,23.7,4.3
2022-07-21,02:00,25.3,92.0,23.9,4.1
2022-07-21,01:00,25.3,93.0,24.0,3.4
2022-07-21,00:00,26.1,89.0,24.1,5.5
2022-07-21,10:00,27.0,84.0,24.1,7.3
2022-07-22,13:00,31.7,66.0,24.5,10.2
2022-07-22,14:00,31.2,68.0,24.6,9.5
2022-07-22,15:00,31.3,69.0,24.9,9.0
2022-07-22,16:00,30.9,71.0,25.1,7.3
2022-07-22,17:00,29.7,74.0,24.5,8.6
2022-07-22,22:00,26.5,90.0,24.7,4.5
2022-07-22,19:00,27.6,84.0,24.7,5.4
2022-07-22,20:00,27.0,88.0,24.9,6.0
2022-07-22,21:00,27.1,88.0,25.0,5.4
2022-07-22,12:00,31.1,68.0,24.6,10.0
2022-07-22,18:00,28.3,82.0,24.9,6.8
2022-07-22,23:00,26.8,89.0,24.7,3.7
